material_id,material_name,material_type,strength_score,weight_cap,biodegradability,co2_emission,recyclability_percent
1,Recycled Cardboard / Paperboard,Fiber-based (cellulosic),3,3,85,70,75
2,Molded Pulp (Recycled Paper Fiber),Fiber-based (cellulosic),3,3,85,70,70
3,"Kraft Paper Wraps, Paper Padding",Fiber-based,2,2,90,70,70
4,Starch-Based Foams/Peanuts,Bio-based polymer (starch),2,3,95,85,30
5,Mycelium-Based Molded Packaging,Bio-based composite,3,3,95,90,20
6,"Bagasse, Wheat-Straw, Other Agri Fibers",Fiber-based from agro-residues,3,3,90,85,60
7,"Pla Bioplastic (Films, Rigid)",Bio-based polyester,3,4,70,60,30
8,"Other Compostable Bioplastics (Pha, Pbs)",Bio-based polyesters,3,3,85,75,25
9,Cellulose / Seaweed Bio-Films,Bio-based polymer films,2,2,95,90,25
10,"Pcr Pet (Bottles, Trays)",Recycled fossil plastic,4,4,0,55,60
11,Pcr Hdpe/Ldpe,Recycled fossil plastic,4,4,0,55,55
12,"Glass (Bottles, Jars, Vials)",Inorganic (silicate),4,3,0,50,80
13,Aluminium Cans / Tins,Metal (aluminium),5,5,0,55,85
14,"Bamboo (Components, Shells)",Lignocellulosic (wood-like),4,4,90,90,50
15,"Cork, Wood, Wood-Composites",Lignocellulosic,4,4,90,85,60
16,Cotton/Jute Textile Bags,Natural fiber,3,3,90,60,40
17,Hemp Fiber Molded Packaging,Natural fiber,4,4,92,88,55
18,Sugarcane Bagasse Sheets,Agro-waste fiber,3,3,88,82,65
19,Rice Husk Composites,Agro-waste composite,3,3,85,85,50
20,Chitin/Chitosan Films (Mushroom/Shell),Bio-based polysaccharide,2,2,90,88,30
21,Recycled Steel Tins,Metal (steel),5,5,0,60,90
22,Pcr Pp (Polypropylene) Trays,Recycled fossil plastic,4,4,0,58,50
23,Beeswax-Coated Paper,Bio-based coated fiber,2,2,85,80,45
24,Seaweed-Based Rigid Trays,Bio-based polysaccharide,3,3,95,92,25
25,Newspaper Honeycomb Inserts,Recycled fiber composite,3,4,88,75,70
26,Algae-Based Plastics,Bio-based (algae),3,3,95,95,20
27,Cellophane Films,Regenerated cellulose,2,2,95,85,40
28,Cornstarch-Based Bioplastic Trays,Bio-based starch,3,3,90,70,25
29,Coconut Coir Padding,Natural fiber (coir),3,3,92,88,50
30,Palm Leaf Trays,Lignocellulosic (palm),3,2,95,90,30
31,Banana Fiber Composites,Agro-waste fiber,3,3,90,85,45
32,Cassava Starch Foams,Bio-based starch,2,3,95,82,20
33,Beet Pulp Molded Pulp,Agro-waste fiber,3,3,88,80,55
34,Carrot Pulp Trays,Agro-waste composite,2,2,90,85,40
35,Tapioca-Based Films,Bio-based starch,2,2,95,78,25
36,Corn Cob Fillers,Agro-waste particle,2,3,92,88,60
37,Peanut Shell Composites,Agro-waste composite,3,3,85,85,50
38,Sorghum Stalk Padding,Lignocellulosic,2,2,90,87,55
39,Flax Fiber Bags,Natural fiber,4,4,92,90,60
40,Sisal Fiber Wraps,Natural fiber,3,3,90,85,50
41,Abaca (Manila Hemp) Sheets,Natural fiber,4,4,88,82,55
42,Kapok Fiber Cushions,Natural fiber,2,3,95,92,30
43,Pineapple Leaf Fibers (Piña),Agro-waste fiber,3,3,90,88,45
44,Coffee Husk Composites,Agro-waste composite,3,3,85,85,50
45,Olive Stone Fillers,Agro-waste particle,3,4,88,82,55
46,Date Palm Composites,Lignocellulosic,4,4,90,87,60
47,Avocado Seed Bioplastics,Bio-based composite,2,2,92,90,25
48,Mushroom Root (Mycelium Variants),Bio-based composite,3,3,95,92,20
49,Agar-Agar Films (Seaweed Binder),Bio-based polysaccharide,2,2,95,93,25
50,Wheat Bran Sheets,Agro-waste fiber,2,2,90,80,65
51,Barley Straw Pulp,Fiber-based (cellulosic),3,3,88,78,70
52,Maize Cob Composites,Agro-waste composite,3,3,90,85,55
53,Potato Starch Foams,Bio-based starch,2,3,95,80,25
54,Sugarcane Pulp Trays,Agro-waste fiber,3,3,88,82,65
55,Apple Pomace Films,Agro-waste composite,2,2,92,88,40
56,Bamboo Leaf Sheets,Lignocellulosic,3,3,90,90,50
57,Reed Fiber Padding,Natural fiber,3,3,88,85,60
58,Esparto Grass Composites,Lignocellulosic,3,3,85,82,55
59,Typha (Cattail) Fiber,Natural fiber,2,2,92,88,45
60,Kenaf Fiber Molded,Natural fiber,4,4,90,87,60
61,Ramie Fiber Bags,Natural fiber,4,4,88,85,55
62,Coir Pith Blocks,Natural fiber (coir),3,4,95,90,50
63,Areca Palm Leaf Plates,Lignocellulosic,3,2,95,92,30
64,Sal Leaf Plates,Lignocellulosic,3,2,95,90,35
65,Sago Palm Starch Films,Bio-based starch,2,2,95,80,25
66,Jackfruit Seed Bioplastics,Bio-based composite,2,2,90,88,30
67,Durian Rind Composites,Agro-waste composite,3,3,88,85,45
68,Mango Seed Coatings,Bio-based polymer,2,2,92,87,40
69,Papaya Leaf Fibers,Agro-waste fiber,2,2,90,85,50
70,Guava Pomace Fillers,Agro-waste particle,2,3,88,82,55
71,Lentil Hull Composites,Agro-waste composite,3,3,85,80,60
72,Chickpea Straw Pulp,Fiber-based,3,3,90,85,65
73,Soybean Hull Sheets,Agro-waste fiber,3,3,88,82,55
74,Alginate Films (Brown Algae),Bio-based polysaccharide,2,2,95,93,25
75,Carrageenan Wraps (Red Algae),Bio-based polysaccharide,2,2,95,92,25
